Datum/Uhrzeit;S25 [kWh]
01.01.2024 00:00;21,517500
01.01.2024 01:00;17,698500
01.01.2024 02:00;16,301250
01.01.2024 03:00;15,711250
01.01.2024 04:00;16,394500
01.01.2024 05:00;19,810000
01.01.2024 06:00;27,044500
01.01.2024 07:00;38,967750
01.01.2024 08:00;52,754000
01.01.2024 09:00;62,006750
01.01.2024 10:00;62,907250
01.01.2024 11:00;55,765750
01.01.2024 12:00;43,314750
01.01.2024 13:00;30,180750
01.01.2024 14:00;20,834750
01.01.2024 15:00;16,549500
01.01.2024 16:00;15,463000
01.01.2024 17:00;16,456500
01.01.2024 18:00;19,437250
01.01.2024 19:00;24,405250
01.01.2024 20:00;30,708500
01.01.2024 21:00;36,017750
01.01.2024 22:00;38,005000
01.01.2024 23:00;36,017750
02.01.2024 00:00;19,000750
02.01.2024 01:00;16,139750
02.01.2024 02:00;15,113500
02.01.2024 03:00;14,740000
02.01.2024 04:00;15,548750
02.01.2024 05:00;18,969500
02.01.2024 06:00;25,904000
02.01.2024 07:00;37,223750
02.01.2024 08:00;50,844500
02.01.2024 09:00;60,111250
02.01.2024 10:00;61,013250
02.01.2024 11:00;53,861000
02.01.2024 12:00;41,390500
02.01.2024 13:00;28,236500
02.01.2024 14:00;18,876000
02.01.2024 15:00;14,584500
02.01.2024 16:00;13,496500
02.01.2024 17:00;14,491250
02.01.2024 18:00;17,476750
02.01.2024 19:00;22,452750
02.01.2024 20:00;28,765500
02.01.2024 21:00;34,083000
02.01.2024 22:00;36,073000
02.01.2024 23:00;34,083000
03.01.2024 00:00;19,028250
03.01.2024 01:00;16,163000
03.01.2024 02:00;15,135250
03.01.2024 03:00;14,761500
03.01.2024 04:00;15,571250
03.01.2024 05:00;18,997000
03.01.2024 06:00;25,941750
03.01.2024 07:00;37,277500
03.01.2024 08:00;50,917750
03.01.2024 09:00;60,198500
03.01.2024 10:00;61,101500
03.01.2024 11:00;53,939000
03.01.2024 12:00;41,450750
03.01.2024 13:00;28,277250
03.01.2024 14:00;18,903500
03.01.2024 15:00;14,605750
03.01.2024 16:00;13,516000
03.01.2024 17:00;14,512250
03.01.2024 18:00;17,502250
03.01.2024 19:00;22,484750
03.01.2024 20:00;28,807000
03.01.2024 21:00;34,132000
03.01.2024 22:00;36,125500
03.01.2024 23:00;34,132000
04.01.2024 00:00;19,052500
04.01.2024 01:00;16,183750
04.01.2024 02:00;15,154750
04.01.2024 03:00;14,780500
04.01.2024 04:00;15,591250
04.01.2024 05:00;19,021250
04.01.2024 06:00;25,975250
04.01.2024 07:00;37,325500
04.01.2024 08:00;50,983500
04.01.2024 09:00;60,275500
04.01.2024 10:00;61,180000
04.01.2024 11:00;54,008250
04.01.2024 12:00;41,503750
04.01.2024 13:00;28,313750
04.01.2024 14:00;18,927750
04.01.2024 15:00;14,624500
04.01.2024 16:00;13,533500
04.01.2024 17:00;14,531000
04.01.2024 18:00;17,524500
04.01.2024 19:00;22,513750
04.01.2024 20:00;28,844000
04.01.2024 21:00;34,176250
04.01.2024 22:00;36,171500
04.01.2024 23:00;34,176250
05.01.2024 00:00;19,075250
05.01.2024 01:00;16,203250
05.01.2024 02:00;15,172750
05.01.2024 03:00;14,798500
05.01.2024 04:00;15,610000
05.01.2024 05:00;19,044000
05.01.2024 06:00;26,006250
05.01.2024 07:00;37,370500
05.01.2024 08:00;51,044500
05.01.2024 09:00;60,348000
05.01.2024 10:00;61,253500
05.01.2024 11:00;54,073000
05.01.2024 12:00;41,553750
05.01.2024 13:00;28,347500
05.01.2024 14:00;18,950500
05.01.2024 15:00;14,642250
05.01.2024 16:00;13,549500
05.01.2024 17:00;14,548500
05.01.2024 18:00;17,546000
05.01.2024 19:00;22,540750
05.01.2024 20:00;28,878500
05.01.2024 21:00;34,217250
05.01.2024 22:00;36,215000
05.01.2024 23:00;34,217250
06.01.2024 00:00;20,970750
06.01.2024 01:00;17,626000
06.01.2024 02:00;16,282250
06.01.2024 03:00;15,688500
06.01.2024 04:00;16,376000
06.01.2024 05:00;19,814250
06.01.2024 06:00;27,095750
06.01.2024 07:00;39,097000
06.01.2024 08:00;52,973000
06.01.2024 09:00;62,286250
06.01.2024 10:00;63,192500
06.01.2024 11:00;56,004500
06.01.2024 12:00;43,472250
06.01.2024 13:00;30,252500
06.01.2024 14:00;20,845500
06.01.2024 15:00;16,532250
06.01.2024 16:00;15,438500
06.01.2024 17:00;16,438500
06.01.2024 18:00;19,439250
06.01.2024 19:00;24,439500
06.01.2024 20:00;30,783750
06.01.2024 21:00;36,128000
06.01.2024 22:00;38,128000
06.01.2024 23:00;36,128000
07.01.2024 00:00;21,680500
07.01.2024 01:00;17,832500
07.01.2024 02:00;16,424500
07.01.2024 03:00;15,830500
07.01.2024 04:00;16,518500
07.01.2024 05:00;19,960000
07.01.2024 06:00;27,249500
07.01.2024 07:00;39,262750
07.01.2024 08:00;53,153250
07.01.2024 09:00;62,476000
07.01.2024 10:00;63,383500
07.01.2024 11:00;56,188000
07.01.2024 12:00;43,642750
07.01.2024 13:00;30,409000
07.01.2024 14:00;20,992000
07.01.2024 15:00;16,675000
07.01.2024 16:00;15,580000
07.01.2024 17:00;16,581000
07.01.2024 18:00;19,584250
07.01.2024 19:00;24,590000
07.01.2024 20:00;30,941000
07.01.2024 21:00;36,290500
07.01.2024 22:00;38,293000
07.01.2024 23:00;36,290500
08.01.2024 00:00;19,132000
08.01.2024 01:00;16,251250
08.01.2024 02:00;15,217750
08.01.2024 03:00;14,842500
08.01.2024 04:00;15,656250
08.01.2024 05:00;19,100750
08.01.2024 06:00;26,083250
08.01.2024 07:00;37,481000
08.01.2024 08:00;51,196000
08.01.2024 09:00;60,527000
08.01.2024 10:00;61,435000
08.01.2024 11:00;54,233250
08.01.2024 12:00;41,677250
08.01.2024 13:00;28,431750
08.01.2024 14:00;19,006500
08.01.2024 15:00;14,685750
08.01.2024 16:00;13,589500
08.01.2024 17:00;14,592000
08.01.2024 18:00;17,597500
08.01.2024 19:00;22,607750
08.01.2024 20:00;28,964250
08.01.2024 21:00;34,318500
08.01.2024 22:00;36,322500
08.01.2024 23:00;34,318500
09.01.2024 00:00;19,145750
09.01.2024 01:00;16,263250
09.01.2024 02:00;15,228750
09.01.2024 03:00;14,852500
09.01.2024 04:00;15,667500
09.01.2024 05:00;19,114250
09.01.2024 06:00;26,102000
09.01.2024 07:00;37,508000
09.01.2024 08:00;51,232750
09.01.2024 09:00;60,570500
09.01.2024 10:00;61,479500
09.01.2024 11:00;54,272000
09.01.2024 12:00;41,706750
